Timestamp,Data
04:51:15.830,ADC Bits:2250 ADC Volt:2.747
04:51:15.945,ADC Bits:2250 ADC Volt:2.747
04:51:16.028,ADC Bits:2250 ADC Volt:2.747
04:51:16.142,ADC Bits:2250 ADC Volt:2.747
04:51:16.226,ADC Bits:2250 ADC Volt:2.747
04:51:16.324,ADC Bits:2251 ADC Volt:2.748
04:51:16.453,ADC Bits:2251 ADC Volt:2.748
04:51:16.560,ADC Bits:2250 ADC Volt:2.747
04:51:16.645,ADC Bits:2250 ADC Volt:2.747
04:51:16.726,ADC Bits:2250 ADC Volt:2.747
04:51:16.827,ADC Bits:2250 ADC Volt:2.747
04:51:16.926,ADC Bits:2250 ADC Volt:2.747
04:51:17.026,ADC Bits:2251 ADC Volt:2.748
04:51:17.126,ADC Bits:2250 ADC Volt:2.747
04:51:17.238,ADC Bits:2250 ADC Volt:2.747
04:51:17.348,ADC Bits:2250 ADC Volt:2.747
04:51:17.435,ADC Bits:2250 ADC Volt:2.747
04:51:17.523,ADC Bits:2250 ADC Volt:2.747
04:51:17.626,ADC Bits:2251 ADC Volt:2.748
04:51:17.727,ADC Bits:2250 ADC Volt:2.747
04:51:17.855,ADC Bits:2250 ADC Volt:2.747
04:51:17.923,ADC Bits:2251 ADC Volt:2.748
04:51:18.031,ADC Bits:2251 ADC Volt:2.748
04:51:18.142,ADC Bits:2250 ADC Volt:2.747
04:51:18.226,ADC Bits:2250 ADC Volt:2.747
04:51:18.325,ADC Bits:2250 ADC Volt:2.747
04:51:18.425,ADC Bits:2250 ADC Volt:2.747
04:51:18.551,ADC Bits:2252 ADC Volt:2.749
04:51:18.642,ADC Bits:2249 ADC Volt:2.746
04:51:18.737,ADC Bits:2250 ADC Volt:2.747
04:51:18.844,ADC Bits:2249 ADC Volt:2.746
04:51:18.927,ADC Bits:2250 ADC Volt:2.747
04:51:19.025,ADC Bits:2250 ADC Volt:2.747
04:51:19.123,ADC Bits:2249 ADC Volt:2.746
04:51:19.225,ADC Bits:2250 ADC Volt:2.747
04:51:19.329,ADC Bits:2250 ADC Volt:2.747
04:51:19.449,ADC Bits:2251 ADC Volt:2.748
04:51:19.532,ADC Bits:2250 ADC Volt:2.747
04:51:19.626,ADC Bits:2250 ADC Volt:2.747
04:51:19.726,ADC Bits:2250 ADC Volt:2.747
04:51:19.825,ADC Bits:2250 ADC Volt:2.747
04:51:19.924,ADC Bits:2251 ADC Volt:2.748
04:51:20.025,ADC Bits:2250 ADC Volt:2.747
04:51:20.153,ADC Bits:2250 ADC Volt:2.747
04:51:20.255,ADC Bits:2249 ADC Volt:2.746
04:51:20.353,ADC Bits:2250 ADC Volt:2.747
04:51:20.428,ADC Bits:2251 ADC Volt:2.748
04:51:20.534,ADC Bits:2250 ADC Volt:2.747
04:51:20.624,ADC Bits:2250 ADC Volt:2.747
04:51:20.726,ADC Bits:2249 ADC Volt:2.746
04:51:20.826,ADC Bits:2251 ADC Volt:2.748
04:51:20.941,ADC Bits:2251 ADC Volt:2.748
04:51:21.023,ADC Bits:2249 ADC Volt:2.746
04:51:21.124,ADC Bits:2250 ADC Volt:2.747
04:51:21.224,ADC Bits:2249 ADC Volt:2.746
04:51:21.341,ADC Bits:2251 ADC Volt:2.748
04:51:21.426,ADC Bits:2249 ADC Volt:2.746
04:51:21.521,ADC Bits:2250 ADC Volt:2.747
04:51:21.622,ADC Bits:2250 ADC Volt:2.747
04:51:21.737,ADC Bits:2250 ADC Volt:2.747
04:51:21.822,ADC Bits:2250 ADC Volt:2.747
04:51:21.924,ADC Bits:2249 ADC Volt:2.746
04:51:22.023,ADC Bits:2249 ADC Volt:2.746
04:51:22.140,ADC Bits:2251 ADC Volt:2.748
04:51:22.224,ADC Bits:2249 ADC Volt:2.746
04:51:22.317,ADC Bits:2250 ADC Volt:2.747
04:51:22.423,ADC Bits:2250 ADC Volt:2.747
04:51:22.542,ADC Bits:2249 ADC Volt:2.746
04:51:22.625,ADC Bits:2250 ADC Volt:2.747
04:51:22.723,ADC Bits:2250 ADC Volt:2.747
04:51:22.822,ADC Bits:2251 ADC Volt:2.748
04:51:22.941,ADC Bits:2249 ADC Volt:2.746
04:51:23.040,ADC Bits:2251 ADC Volt:2.748
04:51:23.122,ADC Bits:2250 ADC Volt:2.747
04:51:23.221,ADC Bits:2251 ADC Volt:2.748
04:51:23.337,ADC Bits:2250 ADC Volt:2.747
04:51:23.421,ADC Bits:2249 ADC Volt:2.746
04:51:23.523,ADC Bits:2251 ADC Volt:2.748
04:51:23.623,ADC Bits:2250 ADC Volt:2.747
04:51:23.740,ADC Bits:2249 ADC Volt:2.746
04:51:23.839,ADC Bits:2249 ADC Volt:2.746
04:51:23.922,ADC Bits:2250 ADC Volt:2.747
04:51:24.022,ADC Bits:2249 ADC Volt:2.746
04:51:24.139,ADC Bits:2250 ADC Volt:2.747
04:51:24.222,ADC Bits:2250 ADC Volt:2.747
04:51:24.323,ADC Bits:2249 ADC Volt:2.746
04:51:24.422,ADC Bits:2251 ADC Volt:2.748
04:51:24.537,ADC Bits:2250 ADC Volt:2.747
04:51:24.635,ADC Bits:2251 ADC Volt:2.748
04:51:24.722,ADC Bits:2251 ADC Volt:2.748
04:51:24.822,ADC Bits:2250 ADC Volt:2.747
04:51:24.937,ADC Bits:2252 ADC Volt:2.749
04:51:25.022,ADC Bits:2250 ADC Volt:2.747
04:51:25.120,ADC Bits:2250 ADC Volt:2.747
04:51:25.220,ADC Bits:2252 ADC Volt:2.749
04:51:25.335,ADC Bits:2249 ADC Volt:2.746
04:51:25.438,ADC Bits:2249 ADC Volt:2.746
04:51:25.522,ADC Bits:2249 ADC Volt:2.746
04:51:25.622,ADC Bits:2250 ADC Volt:2.747
04:51:25.739,ADC Bits:2250 ADC Volt:2.747
04:51:25.823,ADC Bits:2250 ADC Volt:2.747
04:51:25.920,ADC Bits:2248 ADC Volt:2.744
04:51:26.020,ADC Bits:2249 ADC Volt:2.746
04:51:26.137,ADC Bits:2250 ADC Volt:2.747
04:51:26.221,ADC Bits:2250 ADC Volt:2.747
04:51:26.322,ADC Bits:2250 ADC Volt:2.747
04:51:26.419,ADC Bits:2249 ADC Volt:2.746
04:51:26.538,ADC Bits:2250 ADC Volt:2.747
04:51:26.621,ADC Bits:2251 ADC Volt:2.748
04:51:26.721,ADC Bits:2250 ADC Volt:2.747
04:51:26.821,ADC Bits:2250 ADC Volt:2.747
04:51:26.938,ADC Bits:2250 ADC Volt:2.747
04:51:27.037,ADC Bits:2250 ADC Volt:2.747
04:51:27.119,ADC Bits:2250 ADC Volt:2.747
04:51:27.219,ADC Bits:2249 ADC Volt:2.746
04:51:27.338,ADC Bits:2248 ADC Volt:2.744
04:51:27.421,ADC Bits:2248 ADC Volt:2.744
04:51:27.519,ADC Bits:2250 ADC Volt:2.747
04:51:27.621,ADC Bits:2249 ADC Volt:2.746
04:51:27.738,ADC Bits:2250 ADC Volt:2.747
04:51:27.838,ADC Bits:2249 ADC Volt:2.746
04:51:27.920,ADC Bits:2250 ADC Volt:2.747
04:51:28.019,ADC Bits:2250 ADC Volt:2.747
04:51:28.137,ADC Bits:2250 ADC Volt:2.747
04:51:28.238,ADC Bits:2250 ADC Volt:2.747
04:51:28.321,ADC Bits:2249 ADC Volt:2.746
04:51:28.415,ADC Bits:2250 ADC Volt:2.747
04:51:28.538,ADC Bits:2249 ADC Volt:2.746
04:51:28.637,ADC Bits:2250 ADC Volt:2.747
04:51:28.720,ADC Bits:2250 ADC Volt:2.747
04:51:28.820,ADC Bits:2250 ADC Volt:2.747
04:51:28.932,ADC Bits:2250 ADC Volt:2.747
04:51:29.036,ADC Bits:2249 ADC Volt:2.746
04:51:29.120,ADC Bits:2252 ADC Volt:2.749
04:51:29.238,ADC Bits:2250 ADC Volt:2.747
04:51:29.337,ADC Bits:2250 ADC Volt:2.747
04:51:29.437,ADC Bits:2249 ADC Volt:2.746
04:51:29.520,ADC Bits:2249 ADC Volt:2.746
04:51:29.637,ADC Bits:2250 ADC Volt:2.747
04:51:29.735,ADC Bits:2249 ADC Volt:2.746
04:51:29.836,ADC Bits:2250 ADC Volt:2.747
04:51:29.918,ADC Bits:2250 ADC Volt:2.747
04:51:30.035,ADC Bits:2250 ADC Volt:2.747
04:51:30.135,ADC Bits:2250 ADC Volt:2.747
04:51:30.234,ADC Bits:2250 ADC Volt:2.747
04:51:30.319,ADC Bits:2250 ADC Volt:2.747
04:51:30.430,ADC Bits:2249 ADC Volt:2.746
04:51:30.536,ADC Bits:2250 ADC Volt:2.747
04:51:30.637,ADC Bits:2251 ADC Volt:2.748
04:51:30.719,ADC Bits:2250 ADC Volt:2.747
04:51:30.836,ADC Bits:2250 ADC Volt:2.747
04:51:30.936,ADC Bits:2250 ADC Volt:2.747
04:51:31.035,ADC Bits:2251 ADC Volt:2.748
04:51:31.120,ADC Bits:2250 ADC Volt:2.747
04:51:31.234,ADC Bits:2250 ADC Volt:2.747
04:51:31.335,ADC Bits:2251 ADC Volt:2.748
04:51:31.432,ADC Bits:2250 ADC Volt:2.747
04:51:31.519,ADC Bits:2250 ADC Volt:2.747
04:51:31.636,ADC Bits:2250 ADC Volt:2.747
04:51:31.736,ADC Bits:2248 ADC Volt:2.744
04:51:31.835,ADC Bits:2250 ADC Volt:2.747
04:51:31.917,ADC Bits:2248 ADC Volt:2.744
04:51:32.036,ADC Bits:2249 ADC Volt:2.746
04:51:32.135,ADC Bits:2250 ADC Volt:2.747
04:51:32.236,ADC Bits:2249 ADC Volt:2.746
04:51:32.319,ADC Bits:2250 ADC Volt:2.747
04:51:32.433,ADC Bits:2251 ADC Volt:2.748
04:51:32.532,ADC Bits:2250 ADC Volt:2.747
04:51:32.635,ADC Bits:2250 ADC Volt:2.747
04:51:32.718,ADC Bits:2250 ADC Volt:2.747
04:51:32.833,ADC Bits:2250 ADC Volt:2.747
04:51:32.935,ADC Bits:2250 ADC Volt:2.747
04:51:33.033,ADC Bits:2250 ADC Volt:2.747
04:51:33.117,ADC Bits:2250 ADC Volt:2.747
04:51:33.235,ADC Bits:2251 ADC Volt:2.748
04:51:33.332,ADC Bits:2250 ADC Volt:2.747
04:51:33.435,ADC Bits:2250 ADC Volt:2.747
04:51:33.517,ADC Bits:2249 ADC Volt:2.746
04:51:33.635,ADC Bits:2249 ADC Volt:2.746
04:51:33.735,ADC Bits:2250 ADC Volt:2.747
04:51:33.833,ADC Bits:2249 ADC Volt:2.746
04:51:33.918,ADC Bits:2249 ADC Volt:2.746
04:51:34.031,ADC Bits:2250 ADC Volt:2.747
04:51:34.133,ADC Bits:2250 ADC Volt:2.747
04:51:34.235,ADC Bits:2250 ADC Volt:2.747
04:51:34.333,ADC Bits:2250 ADC Volt:2.747
04:51:34.434,ADC Bits:2249 ADC Volt:2.746
04:51:34.535,ADC Bits:2250 ADC Volt:2.747
04:51:34.632,ADC Bits:2250 ADC Volt:2.747
04:51:34.734,ADC Bits:2251 ADC Volt:2.748
04:51:34.834,ADC Bits:2251 ADC Volt:2.748
04:51:34.932,ADC Bits:2250 ADC Volt:2.747
04:51:35.031,ADC Bits:2249 ADC Volt:2.746
04:51:35.117,ADC Bits:2250 ADC Volt:2.747
04:51:35.234,ADC Bits:2250 ADC Volt:2.747
04:51:35.332,ADC Bits:2250 ADC Volt:2.747
04:51:35.430,ADC Bits:2249 ADC Volt:2.746
04:51:35.533,ADC Bits:2251 ADC Volt:2.748
04:51:35.633,ADC Bits:2251 ADC Volt:2.748
04:51:35.732,ADC Bits:2252 ADC Volt:2.749
04:51:35.832,ADC Bits:2274 ADC Volt:2.776
04:51:35.933,ADC Bits:2299 ADC Volt:2.807
04:51:36.034,ADC Bits:2347 ADC Volt:2.865
04:51:36.134,ADC Bits:2356 ADC Volt:2.876
04:51:36.234,ADC Bits:2359 ADC Volt:2.880
04:51:36.333,ADC Bits:2551 ADC Volt:3.114
04:51:36.433,ADC Bits:2601 ADC Volt:3.175
04:51:36.533,ADC Bits:2642 ADC Volt:3.225
04:51:36.632,ADC Bits:2754 ADC Volt:3.362
04:51:36.734,ADC Bits:2832 ADC Volt:3.457
04:51:36.834,ADC Bits:2866 ADC Volt:3.499
04:51:36.933,ADC Bits:2865 ADC Volt:3.498
04:51:37.033,ADC Bits:2863 ADC Volt:3.495
04:51:37.134,ADC Bits:2804 ADC Volt:3.423
04:51:37.232,ADC Bits:2608 ADC Volt:3.184
04:51:37.331,ADC Bits:2428 ADC Volt:2.964
04:51:37.431,ADC Bits:2237 ADC Volt:2.731
04:51:37.532,ADC Bits:1991 ADC Volt:2.431
04:51:37.633,ADC Bits:1861 ADC Volt:2.272
04:51:37.733,ADC Bits:1717 ADC Volt:2.096
04:51:37.831,ADC Bits:1728 ADC Volt:2.109
04:51:37.930,ADC Bits:1729 ADC Volt:2.111
04:51:38.031,ADC Bits:1868 ADC Volt:2.280
04:51:38.130,ADC Bits:2127 ADC Volt:2.597
04:51:38.230,ADC Bits:2551 ADC Volt:3.114
04:51:38.332,ADC Bits:2612 ADC Volt:3.189
04:51:38.430,ADC Bits:2812 ADC Volt:3.433
04:51:38.530,ADC Bits:3014 ADC Volt:3.680
04:51:38.632,ADC Bits:3229 ADC Volt:3.942
04:51:38.731,ADC Bits:3231 ADC Volt:3.945
04:51:38.832,ADC Bits:3230 ADC Volt:3.943
04:51:38.930,ADC Bits:3230 ADC Volt:3.943
04:51:39.030,ADC Bits:3096 ADC Volt:3.780
04:51:39.132,ADC Bits:2855 ADC Volt:3.485
04:51:39.232,ADC Bits:2610 ADC Volt:3.186
04:51:39.329,ADC Bits:2239 ADC Volt:2.733
04:51:39.431,ADC Bits:2050 ADC Volt:2.503
04:51:39.530,ADC Bits:1917 ADC Volt:2.340
04:51:39.630,ADC Bits:1609 ADC Volt:1.964
04:51:39.732,ADC Bits:1348 ADC Volt:1.645
04:51:39.830,ADC Bits:1333 ADC Volt:1.627
04:51:39.930,ADC Bits:1334 ADC Volt:1.628
04:51:40.046,ADC Bits:1333 ADC Volt:1.627
04:51:40.130,ADC Bits:1665 ADC Volt:2.032
04:51:40.230,ADC Bits:1946 ADC Volt:2.376
04:51:40.330,ADC Bits:2232 ADC Volt:2.725
04:51:40.431,ADC Bits:2557 ADC Volt:3.122
04:51:40.531,ADC Bits:2571 ADC Volt:3.139
04:51:40.631,ADC Bits:2609 ADC Volt:3.185
04:51:40.731,ADC Bits:2750 ADC Volt:3.357
04:51:40.831,ADC Bits:2940 ADC Volt:3.589
04:51:40.929,ADC Bits:3067 ADC Volt:3.744
04:51:41.031,ADC Bits:3126 ADC Volt:3.816
04:51:41.129,ADC Bits:3126 ADC Volt:3.816
04:51:41.231,ADC Bits:3067 ADC Volt:3.744
04:51:41.331,ADC Bits:2861 ADC Volt:3.493
04:51:41.428,ADC Bits:2629 ADC Volt:3.210
04:51:41.531,ADC Bits:2359 ADC Volt:2.880
04:51:41.631,ADC Bits:2124 ADC Volt:2.593
04:51:41.730,ADC Bits:1919 ADC Volt:2.343
04:51:41.830,ADC Bits:1747 ADC Volt:2.133
04:51:41.931,ADC Bits:1596 ADC Volt:1.948
04:51:42.030,ADC Bits:1453 ADC Volt:1.774
04:51:42.130,ADC Bits:1343 ADC Volt:1.639
04:51:42.231,ADC Bits:1203 ADC Volt:1.468
04:51:42.330,ADC Bits:1160 ADC Volt:1.416
04:51:42.447,ADC Bits:1138 ADC Volt:1.389
04:51:42.530,ADC Bits:1138 ADC Volt:1.389
04:51:42.629,ADC Bits:1138 ADC Volt:1.389
04:51:42.730,ADC Bits:1137 ADC Volt:1.388
04:51:42.847,ADC Bits:1138 ADC Volt:1.389
04:51:42.928,ADC Bits:1138 ADC Volt:1.389
04:51:43.028,ADC Bits:1139 ADC Volt:1.390
04:51:43.130,ADC Bits:1138 ADC Volt:1.389
04:51:43.230,ADC Bits:1138 ADC Volt:1.389
04:51:43.330,ADC Bits:1138 ADC Volt:1.389
04:51:43.430,ADC Bits:1138 ADC Volt:1.389
04:51:43.528,ADC Bits:1138 ADC Volt:1.389
04:51:43.630,ADC Bits:1139 ADC Volt:1.390
